incident_id,opened_at,area,summary,scope,status,resolution
INC-393,2026-01-31T09:00:00.000Z,tracking,Tracking page loads slowly,all tested requests,investigating,Matched a known service error.
INC-394,2026-03-08T13:00:00.000Z,tracking,Tracking page loads slowly,all tested requests,resolved,Matched a known service error.
INC-395,2026-03-01T12:00:00.000Z,orders,One order cannot be found,one order,resolved,Could not reproduce after restart.
INC-396,2026-02-20T00:00:00.000Z,tracking,Tracking page loads slowly,several users,resolved,Matched a known service error.
INC-397,2026-06-29T10:00:00.000Z,reporting,Volume report times out,all tested requests,resolved,Could not reproduce after restart.
INC-398,2026-03-26T11:00:00.000Z,orders,One order cannot be found,unclear,resolved,No matching error found in the supplied logs.
INC-399,2026-01-05T08:00:00.000Z,orders,One order cannot be found,several users,closed-no-repro,Could not reproduce after restart.
INC-400,2026-02-18T11:00:00.000Z,reporting,Volume report times out,one order,resolved,Follow-up verification succeeded.
INC-401,2026-04-11T18:00:00.000Z,tracking,Tracking looks several hours old,one user,resolved,Follow-up verification succeeded.
INC-402,2026-07-07T19:00:00.000Z,notifications,Notification arrived late,one user,resolved,No matching error found in the supplied logs.
INC-403,2026-01-19T03:00:00.000Z,orders,Order page returns an error,one order,resolved,Reproduced once in test environment.
INC-404,2026-01-08T08:00:00.000Z,notifications,Notification arrived late,several orders,investigating,User report arrived after the original time window.
INC-405,2026-03-23T20:00:00.000Z,orders,One order cannot be found,unclear,investigating,Could not reproduce after restart.
INC-406,2026-04-04T08:00:00.000Z,unknown,Dashboard sometimes feels slow,all tested requests,resolved,User report arrived after the original time window.
INC-407,2026-06-26T15:00:00.000Z,documents,Shipment document will not download,several orders,resolved,Reproduced once in test environment.
INC-408,2026-01-26T21:00:00.000Z,unknown,Dashboard sometimes feels slow,one order,investigating,Follow-up verification succeeded.
INC-409,2026-04-07T13:00:00.000Z,orders,Order page returns an error,one user,resolved,No matching error found in the supplied logs.
INC-410,2026-06-24T01:00:00.000Z,notifications,Notification arrived late,several users,closed-no-repro,Follow-up verification succeeded.
INC-411,2026-03-26T00:00:00.000Z,login,User cannot sign in,one order,resolved,Reproduced once in test environment.
INC-412,2026-01-17T23:00:00.000Z,login,User cannot sign in,one order,resolved,Follow-up verification succeeded.
INC-413,2026-07-30T00:00:00.000Z,orders,Order page returns an error,several users,investigating,Reproduced once in test environment.
INC-414,2026-05-23T09:00:00.000Z,unknown,Dashboard sometimes feels slow,several orders,closed-no-repro,Could not reproduce after restart.
INC-415,2026-03-01T06:00:00.000Z,documents,Shipment document will not download,several orders,investigating,Follow-up verification succeeded.
INC-416,2026-02-22T15:00:00.000Z,login,User cannot sign in,one user,resolved,Follow-up verification succeeded.
INC-417,2026-03-16T15:00:00.000Z,reporting,Report numbers look incomplete,one user,resolved,Matched a known service error.
INC-418,2026-02-10T06:00:00.000Z,unknown,Dashboard sometimes feels slow,one user,resolved,User report arrived after the original time window.
INC-419,2026-02-19T00:00:00.000Z,unknown,Dashboard sometimes feels slow,several orders,resolved,Follow-up verification succeeded.
INC-420,2026-06-10T19:00:00.000Z,unknown,Dashboard sometimes feels slow,several orders,resolved,Follow-up verification succeeded.
INC-421,2026-05-20T04:00:00.000Z,documents,Shipment document will not download,one order,resolved,Could not reproduce after restart.
INC-422,2026-06-25T05:00:00.000Z,login,User cannot sign in,all tested requests,resolved,Follow-up verification succeeded.
INC-423,2026-05-30T12:00:00.000Z,tracking,Tracking page loads slowly,one order,investigating,Follow-up verification succeeded.
INC-424,2026-02-04T19:00:00.000Z,reporting,Volume report times out,all tested requests,resolved,User report arrived after the original time window.
INC-425,2026-04-05T11:00:00.000Z,notifications,Notification arrived late,one user,resolved,User report arrived after the original time window.
INC-426,2026-02-18T05:00:00.000Z,documents,Shipment document will not download,unclear,closed-no-repro,Follow-up verification succeeded.
INC-427,2026-06-12T09:00:00.000Z,documents,Shipment document will not download,one user,resolved,Matched a known service error.
INC-428,2026-01-16T20:00:00.000Z,documents,Shipment document will not download,several orders,resolved,User report arrived after the original time window.
INC-429,2026-02-16T18:00:00.000Z,notifications,Notification arrived late,unclear,investigating,User report arrived after the original time window.
INC-430,2026-04-23T00:00:00.000Z,tracking,Tracking looks several hours old,one user,investigating,Reproduced once in test environment.
INC-431,2026-05-08T13:00:00.000Z,unknown,Dashboard sometimes feels slow,one user,resolved,No matching error found in the supplied logs.
INC-432,2026-07-28T13:00:00.000Z,reporting,Volume report times out,several orders,resolved,Could not reproduce after restart.
INC-433,2026-02-26T18:00:00.000Z,unknown,Dashboard sometimes feels slow,all tested requests,resolved,Matched a known service error.
INC-434,2026-03-11T19:00:00.000Z,reporting,Report numbers look incomplete,all tested requests,resolved,No matching error found in the supplied logs.
INC-435,2026-03-19T00:00:00.000Z,notifications,Notification arrived late,several orders,resolved,User report arrived after the original time window.
INC-436,2026-01-21T01:00:00.000Z,orders,Order page returns an error,several users,resolved,Matched a known service error.
INC-437,2026-06-04T15:00:00.000Z,orders,Order page returns an error,one order,investigating,User report arrived after the original time window.
INC-438,2026-04-13T21:00:00.000Z,orders,One order cannot be found,several orders,investigating,Matched a known service error.
INC-439,2026-02-06T07:00:00.000Z,notifications,Notification arrived late,one user,resolved,User report arrived after the original time window.
INC-440,2026-01-14T14:00:00.000Z,orders,One order cannot be found,one user,resolved,Reproduced once in test environment.
INC-441,2026-06-22T06:00:00.000Z,notifications,Notification arrived late,unclear,resolved,Could not reproduce after restart.
INC-442,2026-07-15T19:00:00.000Z,documents,Shipment document will not download,one order,resolved,Matched a known service error.
INC-443,2026-02-11T09:00:00.000Z,reporting,Volume report times out,several users,resolved,Reproduced once in test environment.
INC-444,2026-01-01T23:00:00.000Z,tracking,Tracking page loads slowly,unclear,resolved,Reproduced once in test environment.
INC-445,2026-01-11T07:00:00.000Z,documents,Shipment document will not download,several users,resolved,User report arrived after the original time window.
INC-446,2026-05-26T20:00:00.000Z,unknown,Dashboard sometimes feels slow,unclear,resolved,No matching error found in the supplied logs.
INC-447,2026-06-02T08:00:00.000Z,tracking,Tracking page loads slowly,one order,resolved,User report arrived after the original time window.
INC-448,2026-01-12T00:00:00.000Z,login,User cannot sign in,one user,resolved,User report arrived after the original time window.
INC-449,2026-06-07T04:00:00.000Z,documents,Shipment document will not download,several users,investigating,Follow-up verification succeeded.
